date,T8,T9,T10,T11,source_file
2025-08-15 19:44:11.668,26.693,26.738,26.928,26.783,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:12.669,26.691,26.735,26.925,26.782,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:13.670,26.689,26.734,26.923,26.78,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:14.670,26.689,26.734,26.92,26.78,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:15.670,26.687,26.733,26.918,26.778,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:16.671,26.684,26.731,26.916,26.776,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:17.671,26.682,26.73,26.914,26.774,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:18.672,26.682,26.73,26.912,26.772,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:19.673,26.68,26.728,26.91,26.771,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:20.673,26.678,26.726,26.909,26.769,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:21.674,26.677,26.725,26.906,26.766,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:22.674,26.674,26.722,26.902,26.765,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:23.675,26.674,26.721,26.901,26.763,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:24.675,26.672,26.72,26.898,26.76,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:25.675,26.669,26.718,26.896,26.759,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:26.676,26.667,26.717,26.894,26.758,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:27.676,26.665,26.715,26.893,26.756,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:28.677,26.664,26.713,26.891,26.754,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:29.677,26.663,26.712,26.889,26.752,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:30.678,26.661,26.71,26.887,26.749,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:31.678,26.659,26.707,26.884,26.746,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:32.678,26.656,26.706,26.881,26.745,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:33.679,26.654,26.704,26.879,26.743,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:34.679,26.652,26.702,26.877,26.741,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:35.679,26.65,26.701,26.874,26.738,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:36.680,26.648,26.699,26.869,26.737,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:37.681,26.646,26.697,26.867,26.735,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:38.681,26.644,26.694,26.865,26.732,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:39.681,26.641,26.692,26.862,26.73,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:40.682,26.638,26.69,26.859,26.727,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:41.683,26.636,26.688,26.856,26.724,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:42.683,26.633,26.686,26.854,26.722,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:43.684,26.631,26.684,26.851,26.721,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:44.684,26.628,26.682,26.848,26.719,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:45.685,26.625,26.679,26.845,26.716,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:46.685,26.622,26.676,26.842,26.713,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:47.686,26.62,26.674,26.839,26.71,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:48.686,26.618,26.673,26.837,26.709,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:49.687,26.615,26.671,26.835,26.706,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:50.688,26.613,26.668,26.833,26.704,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:51.688,26.61,26.666,26.831,26.701,uploaded:Log_192.168.77.10_2025_08_15.txt
